广东频道,#genre#
CCTV-14,http://114.243.108.168:8822/rtp/239.3.1.65:8132
CCTV-14,http://123.113.237.36:8012/rtp/239.3.1.65:8132
CCTV-14,http://114.243.105.128:8822/rtp/239.3.1.65:8132
CCTV-14,http://222.129.32.189:8686/rtp/239.3.1.65:8132
CCTV-15,http://111.193.225.167:8888/rtp/239.3.1.153:8136
CCTV-15,http://114.241.166.2:8888/rtp/239.3.1.153:8136
CCTV-15,http://114.240.43.183:8888/rtp/239.3.1.153:8136
CCTV-15,http://114.243.104.92:8888/rtp/239.3.1.153:8136
CCTV-15,http://123.117.51.57:5555/rtp/239.3.1.153:8136
CCTV-15,http://123.123.167.240:8000/rtp/239.3.1.153:8136
CCTV-15,http://123.118.107.183:4022/rtp/239.3.1.153:8136
CCTV-15,http://114.252.227.154:8000/rtp/239.3.1.153:8136
CCTV-15,http://221.221.92.194:8888/rtp/239.3.1.153:8136
CCTV-15,http://114.243.107.72:8822/rtp/239.3.1.153:8136
CCTV-15,http://221.221.146.211:8182/rtp/239.3.1.153:8136
CCTV-15,http://114.243.108.168:8822/rtp/239.3.1.153:8136
CCTV-15,http://123.113.237.36:8012/rtp/239.3.1.153:8136
CCTV-15,http://114.243.105.128:8822/rtp/239.3.1.153:8136
CCTV-15,http://222.129.32.189:8686/rtp/239.3.1.153:8136
CCTV-16,http://111.193.225.167:8888/rtp/239.3.1.183:8001
CCTV-16,http://114.241.166.2:8888/rtp/239.3.1.183:8001
CCTV-16,http://114.240.43.183:8888/rtp/239.3.1.183:8001
CCTV-16,http://114.243.104.92:8888/rtp/239.3.1.183:8001
CCTV-16,http://123.117.51.57:5555/rtp/239.3.1.183:8001
CCTV-16,http://123.123.167.240:8000/rtp/239.3.1.183:8001
CCTV-16,http://123.118.107.183:4022/rtp/239.3.1.183:8001
CCTV-16,http://114.252.227.154:8000/rtp/239.3.1.183:8001
CCTV-16,http://221.221.92.194:8888/rtp/239.3.1.183:8001
CCTV-16,http://114.243.107.72:8822/rtp/239.3.1.183:8001
CCTV-16,http://221.221.146.211:8182/rtp/239.3.1.183:8001
CCTV-16,http://114.243.108.168:8822/rtp/239.3.1.183:8001
CCTV-16,http://123.113.237.36:8012/rtp/239.3.1.183:8001
CCTV-16,http://114.243.105.128:8822/rtp/239.3.1.183:8001
CCTV-16,http://222.129.32.189:8686/rtp/239.3.1.183:8001
CCTV-17,http://111.193.225.167:8888/rtp/239.3.1.151:8144
CCTV-17,http://114.241.166.2:8888/rtp/239.3.1.151:8144
CCTV-17,http://114.240.43.183:8888/rtp/239.3.1.151:8144
CCTV-17,http://114.243.104.92:8888/rtp/239.3.1.151:8144
CCTV-17,http://123.117.51.57:5555/rtp/239.3.1.151:8144
CCTV-17,http://123.123.167.240:8000/rtp/239.3.1.151:8144
CCTV-17,http://123.118.107.183:4022/rtp/239.3.1.151:8144
CCTV-17,http://114.252.227.154:8000/rtp/239.3.1.151:8144
CCTV-17,http://221.221.92.194:8888/rtp/239.3.1.151:8144
CCTV-17,http://114.243.107.72:8822/rtp/239.3.1.151:8144
CCTV-17,http://221.221.146.211:8182/rtp/239.3.1.151:8144
CCTV-17,http://114.243.108.168:8822/rtp/239.3.1.151:8144
CCTV-17,http://123.113.237.36:8012/rtp/239.3.1.151:8144
CCTV-17,http://114.243.105.128:8822/rtp/239.3.1.151:8144
CCTV-17,http://222.129.32.189:8686/rtp/239.3.1.151:8144
卫视频道,#genre#
广东卫视,http://111.193.225.167:8888/rtp/239.3.1.142:8048
广东卫视,http://114.241.166.2:8888/rtp/239.3.1.142:8048
广东卫视,http://114.240.43.183:8888/rtp/239.3.1.142:8048
广东卫视,http://114.243.104.92:8888/rtp/239.3.1.142:8048
广东卫视,http://123.117.51.57:5555/rtp/239.3.1.142:8048
广东卫视,http://123.123.167.240:8000/rtp/239.3.1.142:8048
广东卫视,http://123.118.107.183:4022/rtp/239.3.1.142:8048
广东卫视,http://114.252.227.154:8000/rtp/239.3.1.142:8048
广东卫视,http://221.221.92.194:8888/rtp/239.3.1.142:8048
广东卫视,http://114.243.107.72:8822/rtp/239.3.1.142:8048
广东卫视,http://221.221.146.211:8182/rtp/239.3.1.142:8048
